タイムスタンプ,メールアドレス,規約への同意,共同利用者の学籍番号,共同利用者の氏名,共同利用者の学生証写真
2026-04-12 15:53:56,rika64@example.org,利用規約に同意する,4610358,藤田 裕太,accept
2026-04-12 15:58:31,yamadaminoru@example.com,利用規約に同意する,8209807,伊藤 直子,accept
2026-04-12 18:18:13,satomisuzuki@example.net,利用規約に同意する,4122018,山口 香織,denied
2026-04-12 18:47:03,yasuhiro76@example.net,利用規約に同意する,1580079,井上 英樹,accept
2026-04-12 18:48:00,endoyuta@example.net,利用規約に同意する,4337409,林 康弘,accept
2026-04-12 18:53:43,ymatsumoto@example.net,利用規約に同意する,8640760,佐藤 陽一,accept
2026-04-12 20:13:38,sayuri64@example.com,利用規約に同意する,1518289,太田 篤司,accept
2026-04-12 20:23:34,okadayui@example.com,利用規約に同意する,8317361,中村 洋介,accept
2026-04-12 21:45:55,rika64@example.org,利用規約に同意する,4610358,藤田 裕太,accept
2026-04-12 23:39:45,aokiatsushi@example.org,利用規約に同意する,1593298,渡辺 春香,accept
2026-04-13 00:59:23,asukayamada@example.org,利用規約に同意する,1577814,太田 七夏,accept
2026-04-13 01:02:35,kumikoyamazaki@example.org,利用規約に同意する,4508079,佐藤 知実,accept
2026-04-13 01:04:09,nanami37@example.com,利用規約に同意する,8606428,山崎 晃,denied
2026-04-13 02:16:01,kana49@example.org,利用規約に同意する,1558529,吉田 洋介,denied
2026-04-13 04:14:29,yuiinoue@example.net,利用規約に同意する,8280623,田中 花子,accept
2026-04-13 07:42:03,pishii@example.org,利用規約に同意する,4471371,木村 幹,accept
2026-04-13 09:24:13,taro53@example.net,利用規約に同意する,4652757,太田 くみ子,accept
2026-04-13 09:43:07,minoue@example.com,利用規約に同意する,8428124,藤原 智也,accept
2026-04-13 10:58:41,asukanakamura@example.org,利用規約に同意する,4473005,山本 陽一,accept
2026-04-13 10:59:31,mikakoyamada@example.com,利用規約に同意する,4271058,田中 浩,accept
2026-04-13 11:41:09,ookamoto@example.org,利用規約に同意する,4207592,森 結衣,accept
2026-04-13 11:57:43,rikasaito@example.com,利用規約に同意する,1514764,岡本 淳,accept
2026-04-13 12:33:56,zkimura@example.net,利用規約に同意する,1536569,佐藤 明美,accept
2026-04-13 12:45:17,haruka80@example.org,利用規約に同意する,1599972,小川 智也,accept
2026-04-13 14:11:05,umori@example.com,利用規約に同意する,8131194,山口 春香,accept
2026-04-13 16:04:13,lkato@example.net,利用規約に同意する,1565323,斉藤 真綾,accept
2026-04-13 16:54:49,pkobayashi@example.net,利用規約に同意する,1518661,鈴木 あすか,accept
2026-04-13 17:12:24,lmaeda@example.com,利用規約に同意する,4659510,山本 七夏,accept
2026-04-13 17:36:47,ryoheitakahashi@example.org,利用規約に同意する,1519168,鈴木 稔,accept
2026-04-13 19:18:04,naotonakamura@example.com,利用規約に同意する,1565239,前田 桃子,accept
2026-04-13 21:16:42,saitomanabu@example.com,利用規約に同意する,8197894,松本 充,accept
2026-04-13 23:20:21,omatsumoto@example.org,利用規約に同意する,4297880,高橋 英樹,denied
2026-04-13 23:30:28,tsubasasakamoto@example.net,利用規約に同意する,8534688,佐藤 零,accept
